COMPANY,PLAN,PREMIUM_CRORES,PREMIUM,NOP,LIVES_COVERED,MONTH,YEAR,DATE,ATS
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,3.41,34104999.81,2,53,AUG,2017,8/1/2017,17052499
ADITYA BIRLA SUN LIFE,Group Yearly Renewable Premium,6.57,65707716.81,48,146049,AUG,2017,8/1/2017,1368910
ADITYA BIRLA SUN LIFE,Individual Single Premium,3.85,38514636.93,99,NULL,JAN,2012,1/1/2012,389036
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,78.34,783404172.1,63843,NULL,JAN,2012,1/1/2012,12270
ADITYA BIRLA SUN LIFE,Group Single Premium,0.19,1890158.59,0,39,JAN,2012,1/1/2012,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,20.22,202159030.3,53,88844,JAN,2012,1/1/2012,3814321
ADITYA BIRLA SUN LIFE,Individual Single Premium,5.04,50366668.22,434,NULL,NOV,2010,11/1/2010,116052
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,88.03,880312871.7,38668,NULL,NOV,2010,11/1/2010,22765
ADITYA BIRLA SUN LIFE,Group Single Premium,0.61,6145329.65,0,108,NOV,2010,11/1/2010,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,28.25,282477490.9,25,256601,NOV,2010,11/1/2010,11299099
ADITYA BIRLA SUN LIFE,Individual Single Premium,2.11,21133718.31,99,NULL,APR,2011,4/1/2011,213471
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,55.57,555691724.7,24717,NULL,APR,2011,4/1/2011,22482
ADITYA BIRLA SUN LIFE,Group Single Premium,0.18,1776777.3,0,51,APR,2011,4/1/2011,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,9.09,90874973.3,18,109198,APR,2011,4/1/2011,5048609
ADITYA BIRLA SUN LIFE,Individual Single Premium,1.31,13095246.9,87,NULL,MAY,2012,5/1/2012,150520
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,67.06,670596781.1,38362,NULL,MAY,2012,5/1/2012,17480
ADITYA BIRLA SUN LIFE,Group Single Premium,0.5,5010966.68,0,101,MAY,2012,5/1/2012,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,63.51,635051947.8,42,108063,MAY,2012,5/1/2012,15120284
ADITYA BIRLA SUN LIFE,Individual Single Premium,1.19,11874604.04,77,NULL,FEB,2013,2/1/2013,154215
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,95.56,955604875,53368,NULL,FEB,2013,2/1/2013,17905
ADITYA BIRLA SUN LIFE,Group Single Premium,0.98,9751976,0,214,FEB,2013,2/1/2013,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,16.48,164843653.7,19,32696,FEB,2013,2/1/2013,8675981
ADITYA BIRLA SUN LIFE,Individual Single Premium,3.17,31659293.15,103,NULL,FEB,2017,2/1/2017,307371
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,81.81,818051665.2,28225,NULL,FEB,2017,2/1/2017,28983
ADITYA BIRLA SUN LIFE,Group Single Premium,2.57,25731641.81,0,41830,FEB,2017,2/1/2017,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,54.89,548850147.7,61,108910,FEB,2017,2/1/2017,8997543
ADITYA BIRLA SUN LIFE,Individual Single Premium,2.39,23850455.03,74,NULL,SEP,2016,9/1/2016,322303
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,66.97,669719239,24703,NULL,SEP,2016,9/1/2016,27110
ADITYA BIRLA SUN LIFE,Group Single Premium,1.84,18394291.83,0,3111,SEP,2016,9/1/2016,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,383.93,3839292315,53,154140,SEP,2016,9/1/2016,72439477
ADITYA BIRLA SUN LIFE,Individual Single Premium,8.33,83262043.8,228,0,JUN,2018,6/1/2018,365184
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,112.86,1128592150,23908,0,JUN,2018,6/1/2018,47205
ADITYA BIRLA SUN LIFE,Group Single Premium,219.82,2198160190,9,63089,JUN,2018,6/1/2018,244240021
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,9.38,93804747.66,1,0,JUN,2018,6/1/2018,93804747
ADITYA BIRLA SUN LIFE,Group Yearly Renewable Premium,4.28,42826479.31,68,130337,JUN,2018,6/1/2018,629801
ADITYA BIRLA SUN LIFE,Individual Single Premium,3.17,31719663.93,72,NULL,AUG,2016,8/1/2016,440550
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,50.27,502684973.8,21557,NULL,AUG,2016,8/1/2016,23318
ADITYA BIRLA SUN LIFE,Group Single Premium,1.32,13224549.79,0,3211,AUG,2016,8/1/2016,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,67.29,672894492.7,19,64653,AUG,2016,8/1/2016,35415499
ADITYA BIRLA SUN LIFE,Individual Single Premium,7.81,78050199.9,303,0,AUG,2018,8/1/2018,257591
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,116.83,1168278157,21669,0,AUG,2018,8/1/2018,53914
ADITYA BIRLA SUN LIFE,Group Single Premium,148.45,1484522138,4,47556,AUG,2018,8/1/2018,371130534
ADITYA BIRLA SUN LIFE,Individual Single Premium,7.15,71494608.76,187,0,APR,2018,4/1/2018,382324
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,44.79,447936526.4,9961,0,APR,2018,4/1/2018,44969
ADITYA BIRLA SUN LIFE,Group Single Premium,21.3,213010406.1,7,51990,APR,2018,4/1/2018,30430058
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,9.53,95306084.12,0,0,APR,2018,4/1/2018,NULL
ADITYA BIRLA SUN LIFE,Group Yearly Renewable Premium,6.6,66034335.59,67,113862,APR,2018,4/1/2018,985587
ADITYA BIRLA SUN LIFE,Individual Single Premium,12.87,128746386.7,230,0,MAR,2020,3/1/2020,559766
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,211.2,2112043271,27997,0,MAR,2020,3/1/2020,75438
ADITYA BIRLA SUN LIFE,Group Single Premium,234.03,2340258546,10,111916,MAR,2020,3/1/2020,234025854
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,16.36,163557781.4,2,112,MAR,2020,3/1/2020,81778890
ADITYA BIRLA SUN LIFE,Group Yearly Renewable Premium,6.44,64382541.67,42,92600,MAR,2020,3/1/2020,1532917
ADITYA BIRLA SUN LIFE,Individual Single Premium,9.75,97524398.53,272,0,JUN,2019,6/1/2019,358545
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,138.08,1380839014,24571,0,JUN,2019,6/1/2019,56197
ADITYA BIRLA SUN LIFE,Group Single Premium,57.5,574979006.4,7,123123,JUN,2019,6/1/2019,82139858
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,0.37,3717594.33,0,0,JUN,2019,6/1/2019,NULL
ADITYA BIRLA SUN LIFE,Group Yearly Renewable Premium,6.75,67502388.88,39,111936,JUN,2019,6/1/2019,1730830
ADITYA BIRLA SUN LIFE,Individual Single Premium,11.97,119727759.6,391,0,APR,2019,4/1/2019,306209
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,65.13,651266833.3,9707,0,APR,2019,4/1/2019,67092
ADITYA BIRLA SUN LIFE,Group Single Premium,36.13,361283921.3,5,57448,APR,2019,4/1/2019,72256784
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,0.55,5524444,0,0,APR,2019,4/1/2019,NULL
ADITYA BIRLA SUN LIFE,Group Yearly Renewable Premium,5.05,50450459.73,56,100604,APR,2019,4/1/2019,900901
ADITYA BIRLA SUN LIFE,Individual Single Premium,8.71,87083150.5,402,0,FEB,2019,2/1/2019,216624
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,148.4,1483987214,24242,0,FEB,2019,2/1/2019,61215
ADITYA BIRLA SUN LIFE,Group Single Premium,56.11,561133944.5,2,180343,FEB,2019,2/1/2019,280566972
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,3.54,35362737.58,0,0,FEB,2019,2/1/2019,NULL
ADITYA BIRLA SUN LIFE,Group Yearly Renewable Premium,5.5,55024570.52,71,136719,FEB,2019,2/1/2019,774993
ADITYA BIRLA SUN LIFE,Individual Single Premium,9.32,93210878.98,325,0,MAY,2019,5/1/2019,286802
